V1	probe_id
450	APOOL	213282_at
451	INCENP	219769_at
452	ETS1	214447_at
453	DNAJC22	220441_at
454	IMPA2	203126_at
455	CENPA	204962_s_at
456	KCTD3	217894_at
457	IL32	203828_s_at
459	C1orf112	220840_s_at
460	LMAN1	203293_s_at
462	TK1	202338_at
463	ZNF532	220617_s_at
464	FBXO17	220233_at
465	APBB1IP	219994_at
466	MLH1	202520_s_at
467	ECT2	219787_s_at
468	PASK	206594_at
469	NCAPH2	205086_s_at
471	VLDLR	209822_s_at
472	ASH2L	209517_s_at
473	ATAD5	220223_at
474	AGTPBP1	204499_at
475	NDC1	218073_s_at
476	GPSM2	205240_at
478	DBF4B	206661_at
480	EIF4EBP1	221539_at
481	SUV39H1	218619_s_at
482	PLAGL1	207002_s_at
483	ORC6	219105_x_at
484	NR4A3	207978_s_at
485	JUNB	201473_at
486	IGSF3	202421_at
487	CENPX	209478_at
488	PRIM2	205628_at
491	CDKN2C	204159_at
494	PRKCH	206099_at
495	PTK7	207011_s_at
496	H2AZ1	200853_at
497	FOS	209189_at
498	CASC3	207842_s_at
499	MTMR11	205076_s_at
500	LPAR1	204036_at
503	SNRNP200	200058_s_at
504	MEGF9	212830_at
508	DBT	205369_x_at
509	SMARCD3	204099_at
511	MRPS27	212145_at
512	TCERG1	202396_at
513	FBLN1	201787_at
515	ACTL6A	202666_s_at
516	ANP32B	201305_x_at
517	GMNN	218350_s_at
518	TP53	201746_at
519	RAI14	202052_s_at
520	FBXO5	218875_s_at
521	NEIL3	219502_at
522	MAP3K8	205027_s_at
523	NDE1	218414_s_at
525	APH1B	221036_s_at
526	UBE2C	202954_at
528	MOAP1	212508_at
529	MAD2L1	203362_s_at
532	TMEM87A	212202_s_at
536	RFWD3	218564_at
537	ZWILCH	218349_s_at
538	ST6GAL1	201998_at
539	SMC6	218781_at
540	TMEM106C	201764_at
541	WWC3	219520_s_at
542	TNFAIP8	208296_x_at
543	PSMC3	201267_s_at
545	APLP1	209462_at
546	SH3BP4	222258_s_at
547	HAUS5	213053_at
549	MMP16	207012_at
550	VPS45	207967_at
551	RNF144A	204040_at
552	IGFBP3	210095_s_at
