V1	probe_id
510	HOXC13	219832_s_at
513	AP5Z1	209912_s_at
516	CYBA	203028_s_at
517	NR0B1	206644_at
520	BCL6	203140_at
521	ZNF587	219981_x_at
522	ARFGAP1	217888_s_at
523	VPS53	219794_at
525	ZNF706	218059_at
526	RAP2A	214103_s_at
527	DPYSL4	205492_s_at
528	RAB26	219562_at
529	NDRG4	209159_s_at
531	LRIF1	220235_s_at
532	MVD	203027_s_at
533	TP53I11	203421_at
535	MAN2B1	209166_s_at
538	MN1	205330_at
539	HMOX1	203665_at
540	CP	204846_at
541	ERCC2	213468_at
542	FDXR	207813_s_at
544	KCNK1	204678_s_at
546	HHIPL2	220283_at
547	IL15	205992_s_at
549	PNPO	218511_s_at
551	MCOLN3	220484_at
553	EPS8	202609_at
554	PDLIM1	208690_s_at
555	DDAH1	209094_at
556	TOLLIP	217930_s_at
557	RP2	205191_at
559	IFIT3	204747_at
560	OGFRL1	219582_at
561	ZNF550	215124_at
562	BNC2	220272_at
563	USF2	202152_x_at
564	SREK1IP1	217608_at
565	RHBDF1	218686_s_at
567	FBN1	202765_s_at
568	GRIN2D	207036_x_at
570	UBL3	201534_s_at
571	SLC38A7	218727_at
572	HAGH	205012_s_at
574	TGM2	201042_at
575	RIT1	209882_at
576	PVT1	216240_at
577	LRRC8B	212976_at
578	SLC29A2	204717_s_at
579	EMC9	219203_at
580	SCPEP1	218217_at
581	TMF1	213024_at
582	SOX13	209736_at
583	CASP4	209310_s_at
584	CAPRIN2	218456_at
585	ACOT13	204565_at
587	TAF13	205966_at
589	SERPINB8	206034_at
591	STN1	219100_at
592	BTD	204167_at
593	IGF2R	201392_s_at
594	ASIC1	205156_s_at
595	CTSD	200766_at
596	STX1A	204729_s_at
598	PTK2B	203110_at
599	RBMS2	205228_at
600	MAST4	210958_s_at
601	TRAF3IP1	214458_at
602	DLG5	201681_s_at
603	OPN3	219032_x_at
605	GLDC	204836_at
606	CPNE7	219707_at
607	IL6R	205945_at
608	NPY4R	210956_at
609	SP140L	214791_at
611	BAZ2A	201353_s_at
612	COQ8B	220434_at
613	SNN	218032_at
616	TEP1	205727_at
617	TMEM8B	207839_s_at
618	USP49	220667_at
619	ASAP1	221039_s_at
623	UBTD1	219172_at
624	GNB1L	220762_s_at
625	HMOX2	218120_s_at
626	ZNF302	218490_s_at
628	MOSPD1	218853_s_at
629	TMBIM4	219206_x_at
631	PRKD2	209282_at
632	HSPA4L	205543_at
633	SPRY4	220983_s_at
634	ITPKC	213076_at
635	CYP3A5	205765_at
637	RHOF	219045_at
638	CRIP2	208978_at
641	CUL7	203558_at
645	MAPK12	206106_at
647	CKB	200884_at
648	ATG9A	202492_at
649	ARHGEF9	203263_s_at
650	UNC119	203271_s_at
651	SLC16A3	202855_s_at
652	ARL15	219842_at
653	IFI35	209417_s_at
654	TRAFD1	202837_at
660	PPARG	208510_s_at
661	TMEM144	217613_at
662	ACBD4	219413_at
663	RABGGTA	203573_s_at
666	FANCF	218689_at
668	HECW1	210331_at
669	CALCOCO1	209002_s_at
670	CPTP	220734_s_at
671	FBXL2	214436_at
672	ZNF274	204937_s_at
673	TSPAN31	203226_s_at
674	ADAM12	202952_s_at
675	ETV5	203348_s_at
676	KLHL24	206551_x_at
677	RETREG1	213662_at
680	CAPG	201850_at
681	CFH	213800_at
682	CREB3L2	212345_s_at
683	SELENOW	201194_at
684	NIPAL3	210267_at
685	POFUT2	207448_at
686	SLC37A1	218928_s_at
687	WIPI1	203827_at
690	GSPT2	205541_s_at
691	AHNAK	211986_at
692	ZNF264	205917_at
693	RAB3B	205924_at
694	DOCK3	213482_at
695	PTBP2	218683_at
696	CCDC68	220180_at
697	ERCC6	207347_at
698	EDA2R	221399_at
699	R3HDM2	203831_at
700	PLEKHG6	220073_s_at
702	TCTA	203054_s_at
703	RPS6KA1	203379_at
704	RHOD	209885_at
705	CORO2A	205538_at
706	ANK1	205389_s_at
708	SCN1B	205508_at
709	PPP1R12B	201957_at
710	FUCA1	202838_at
712	BACH1	204194_at
713	MICB	205905_s_at
714	EFNA5	207301_at
715	TMC5	219580_s_at
717	GPNMB	201141_at
719	IFITM2	201315_x_at
720	BANK1	219667_s_at
721	PNPLA4	209739_s_at
723	GLI2	207034_s_at
725	FAM8A1	203420_at
726	RNF19B	213038_at
727	NAV2	218330_s_at
728	CDRT1	208279_s_at
729	ADAMTS7	220705_s_at
730	PDP1	218273_s_at
734	MIER2	221862_at
735	SLC16A2	204462_s_at
737	RNASET2	217983_s_at
739	BCL10	205263_at
740	NRXN3	205795_at
742	VGLL3	220327_at
743	LCN2	212531_at
745	KCNC4	208251_at
746	ZNF331	219228_at
747	ATG4A	213115_at
748	CCDC186	219844_at
749	DTX4	212611_at
751	PELI2	219132_at
753	ZNF226	219603_s_at
754	ATP5IF1	218671_s_at
758	PBRM1	220355_s_at
759	BBC3	211692_s_at
760	AK5	219308_s_at
761	GABBR1	203146_s_at
763	ZSCAN5A	219904_at
764	TASP1	219443_at
765	PHLDA3	218634_at
766	EIF2AK3	218696_at
767	ZNF134	206182_at
772	MARK4	221560_at
773	MPP1	202974_at
774	PIGH	209625_at
779	CTSS	202901_x_at
780	PLXNA2	207290_at
783	PIGL	205873_at
785	SLC38A6	214830_at
786	IPPK	219092_s_at
788	PLK3	204958_at
790	QPCTL	220438_at
792	AADAC	205969_at
793	LMBR1L	220036_s_at
794	TIMP4	206243_at
795	FXN	205565_s_at
796	RAB30	206530_at
798	SPAG16	219109_at
801	NLGN4Y	207703_at
803	MAP3K1	214786_at
804	HELZ	203674_at
807	DST	204455_at
808	FGL1	205305_at
809	ARMCX5	219335_at
812	FGG	219612_s_at
817	CEBPD	203973_s_at
818	FCGBP	203240_at
819	LPP	202821_s_at
821	PAPPA	201981_at
