V1	probe_id
383	B3GNT2	219326_s_at
384	HNRNPDL	201993_x_at
385	ZBED1	203043_at
386	TBC1D31	214061_at
387	FUS	200959_at
388	CBX6	202047_s_at
389	SPDL1	221685_s_at
390	PRPF6	208879_x_at
391	POLE	216026_s_at
392	CCN1	201289_at
393	CNTRL	205642_at
394	ASF1B	218115_at
395	SRSF2	200753_x_at
396	CDK8	204831_at
397	RBBP8	203344_s_at
398	VCAN	204619_s_at
399	SMTN	207390_s_at
400	SMARCA5	202303_x_at
401	CKS1B	201897_s_at
402	HAT1	203138_at
403	RALBP1	202844_s_at
404	CCNE2	205034_at
405	DYRK3	210151_s_at
406	MYO5C	218966_at
407	SNRPA1	206055_s_at
408	PRPF4	209161_at
409	NDC80	204162_at
410	SCML2	206147_x_at
411	PKMYT1	204267_x_at
412	POLR1E	218997_at
413	CYP1B1	202434_s_at
418	CENPJ	220885_s_at
419	GGH	203560_at
421	CTNNAL1	202468_s_at
422	STIL	205339_at
424	ATP10A	214255_at
427	CDC25C	205167_s_at
428	TUBG1	201714_at
429	PALS2	205429_s_at
431	SLC29A1	201801_s_at
433	SMARCC2	201320_at
434	FAM120C	220685_at
436	SART3	200069_at
437	MTR	203774_at
438	MAP2K4	203265_s_at
440	IL6ST	204863_s_at
441	PARP2	204752_x_at
443	ID4	209291_at
444	HR	210086_at
445	NCAPD3	212789_at
446	CEP152	215170_s_at
448	CBX5	209715_at
449	PDLIM7	203369_x_at
450	PHACTR4	219235_s_at
452	FMNL1	204789_at
453	TCIM	218541_s_at
455	GPR107	211977_at
456	EXOSC2	209527_at
457	BICC1	213429_at
459	CASP2	208050_s_at
461	NNT	202783_at
462	ARHGAP33	213827_at
463	RBBP4	210371_s_at
464	BAG2	209406_at
466	APOOL	213282_at
467	INCENP	219769_at
468	ETS1	214447_at
469	DNAJC22	220441_at
470	IMPA2	203126_at
471	CENPA	204962_s_at
472	KCTD3	217894_at
474	C1orf112	220840_s_at
476	LMAN1	203293_s_at
478	TK1	202338_at
479	ZNF532	220617_s_at
480	FBXO17	220233_at
481	APBB1IP	219994_at
482	MLH1	202520_s_at
483	ECT2	219787_s_at
484	PASK	206594_at
485	NCAPH2	205086_s_at
487	VLDLR	209822_s_at
488	ASH2L	209517_s_at
489	ATAD5	220223_at
490	AGTPBP1	204499_at
491	ELOVL2	213712_at
493	NDC1	218073_s_at
494	GPSM2	205240_at
496	DBF4B	206661_at
498	RAD54L	204558_at
499	EIF4EBP1	221539_at
500	SUV39H1	218619_s_at
501	PLAGL1	207002_s_at
502	ORC6	219105_x_at
503	JUNB	201473_at
504	IGSF3	202421_at
505	CENPX	209478_at
506	PRIM2	205628_at
508	CDKN2C	204159_at
511	PRKCH	206099_at
512	LSR	208190_s_at
513	H2AZ1	200853_at
514	FOS	209189_at
515	CASC3	207842_s_at
516	LPAR1	204036_at
519	SNRNP200	200058_s_at
520	MEGF9	212830_at
524	DBT	205369_x_at
525	SMARCD3	204099_at
527	MRPS27	212145_at
528	TCERG1	202396_at
529	FBLN1	201787_at
531	ACTL6A	202666_s_at
532	ANP32B	201305_x_at
533	GMNN	218350_s_at
534	TP53	201746_at
535	RAI14	202052_s_at
536	FBXO5	218875_s_at
537	NEIL3	219502_at
538	MAP3K8	205027_s_at
539	ASS1	207076_s_at
540	NDE1	218414_s_at
542	APH1B	221036_s_at
543	UBE2C	202954_at
545	MOAP1	212508_at
546	MAD2L1	203362_s_at
549	TMEM87A	212202_s_at
552	RFWD3	218564_at
553	ZWILCH	218349_s_at
554	SMC6	218781_at
555	TMEM106C	201764_at
556	WWC3	219520_s_at
557	TNFAIP8	208296_x_at
558	PSMC3	201267_s_at
560	APLP1	209462_at
561	SH3BP4	222258_s_at
562	HAUS5	213053_at
564	VPS45	207967_at
565	SHH	207586_at
566	RNF144A	204040_at
567	CFD	205382_s_at
568	IGFBP3	210095_s_at
569	RPAP3	218842_at
570	LTB4R	210128_s_at
571	PBX1	205253_at
572	THBS1	201107_s_at
573	NCSTN	208759_at
574	SEC22B	209206_at
575	ARSD	206831_s_at
576	RAD51	205023_at
578	CDC23	202892_at
579	HES1	203393_at
582	ARSL	205894_at
583	CARD8	204950_at
584	RBBP5	205169_at
585	RBL1	205296_at
587	OBSL1	212775_at
588	SNAP25	202507_s_at
589	ENDOD1	212570_at
590	FANCC	205189_s_at
592	TIMM10	218408_at
593	CCP110	204662_at
594	EXOSC8	215136_s_at
595	NUP155	206550_s_at
600	NGRN	217722_s_at
603	PIGN	219048_at
604	NUDT1	204766_s_at
605	FRS2	221308_at
606	ADRA1D	210960_at
607	CRY1	209674_at
609	UBA3	209115_at
610	IFT122	216678_at
611	SMCHD1	212569_at
613	PATZ1	209431_s_at
615	ZMYM3	207559_s_at
617	HIP1	205425_at
618	ATG3	220237_at
619	AMH	206516_at
620	SEMA3B	203070_at
623	NOC3L	218889_at
624	CUL3	201370_s_at
625	MRC2	209280_at
626	CLDN1	218182_s_at
627	GALC	204417_at
628	TIPIN	219258_at
629	DYRK1A	209033_s_at
630	FGFR3	204379_s_at
631	HDAC6	206846_s_at
633	GSDMD	218154_at
635	UCKL1	218533_s_at
636	XRCC2	207598_x_at
637	RBPJ	207785_s_at
638	ANKFY1	219868_s_at
639	MTSS2	213978_at
640	CENPO	219472_at
641	ATF3	202672_s_at
643	POLR2A	202725_at
645	CHRNA5	206533_at
646	CDC7	204510_at
648	KLHL2	219157_at
649	SMC1A	201589_at
650	DUT	208955_at
652	UTP20	209725_at
653	USP25	220419_s_at
654	POT1	204353_s_at
659	RFC1	208021_s_at
661	TPBG	203476_at
662	SNRPF	203832_at
663	DHX40	218277_s_at
665	GPD2	210007_s_at
666	NUP54	215213_at
667	SLC7A2	207626_s_at
668	IPO8	205701_at
