V1	probe_id
650	DOCK3	213482_at
651	PTBP2	218683_at
652	ERCC6	207347_at
653	EDA2R	221399_at
654	R3HDM2	203831_at
656	DSC2	204750_s_at
658	TCTA	203054_s_at
659	RPS6KA1	203379_at
660	RHOD	209885_at
661	SCN1B	205508_at
662	MXRA8	213422_s_at
664	PPP1R12B	201957_at
665	PSG4	208191_x_at
666	FUCA1	202838_at
668	BACH1	204194_at
669	EFNA5	207301_at
671	PNPLA4	209739_s_at
673	GLI2	207034_s_at
675	FAM8A1	203420_at
676	RNF19B	213038_at
677	NAV2	218330_s_at
678	CDRT1	208279_s_at
679	ADAMTS7	220705_s_at
680	PDP1	218273_s_at
683	PIK3IP1	221756_at
684	MIER2	221862_at
685	SLC16A2	204462_s_at
688	BCL10	205263_at
689	NRXN3	205795_at
690	EPHA5	215664_s_at
692	VGLL3	220327_at
694	KCNC4	208251_at
695	ZNF331	219228_at
696	ATG4A	213115_at
697	CCDC186	219844_at
698	DTX4	212611_at
700	PELI2	219132_at
701	GPR137B	204137_at
703	ZNF226	219603_s_at
704	ATP5IF1	218671_s_at
708	PBRM1	220355_s_at
709	BBC3	211692_s_at
710	AK5	219308_s_at
711	PITX2	207558_s_at
712	GABBR1	203146_s_at
714	ACTA2	200974_at
715	TASP1	219443_at
716	PHLDA3	218634_at
717	ULBP2	221291_at
719	EIF2AK3	218696_at
720	ZNF134	206182_at
724	S100A13	202598_at
725	KLHL29	220348_at
726	HOXB9	216417_x_at
728	LIMS2	220765_s_at
729	MARK4	221560_at
730	ISLR	207191_s_at
731	MPP1	202974_at
732	PIGH	209625_at
734	PTPRE	221840_at
739	SPOCK1	202363_at
740	PLXNA2	207290_at
742	VDR	204253_s_at
745	PIGL	205873_at
747	SLC38A6	214830_at
749	PLK3	204958_at
750	DPYD	204646_at
751	QPCTL	220438_at
753	AADAC	205969_at
754	LMBR1L	220036_s_at
755	MT1X	204326_x_at
756	TIMP4	206243_at
757	GAREM1	219377_at
758	ZBED2	219836_at
759	RAB30	206530_at
762	HSD17B14	219113_x_at
765	WHRN	221887_s_at
767	C3orf52	219474_at
768	NLGN4Y	207703_at
769	RAP1GAP2	213280_at
770	MAST3	213045_at
771	IGF2BP2	218847_at
773	CNR1	207940_x_at
774	DHRS2	206463_s_at
775	HELZ	203674_at
780	DST	204455_at
785	EPHA4	206114_at
789	KCNQ1OT1	204486_at
791	IL6	205207_at
794	KIAA1549L	214772_at
795	GMIP	218913_s_at
797	TUBB3	202154_x_at
798	PLXNA3	203623_at
800	DYSF	218660_at
801	CEBPD	203973_s_at
802	TFEB	221866_at
803	TNFAIP6	206025_s_at
804	KCNE4	222379_at
806	CDA	205627_at
807	LPP	202821_s_at
808	ACTC1	205132_at
809	RBMS3	206767_at
810	SEMA7A	210083_at
811	IFNA1	208375_at
813	HOXD10	207373_at
814	PAPPA	201981_at
816	NFASC	213438_at
818	JPH3	220188_at
819	REEP1	204364_s_at
820	WNT5B	221029_s_at
821	ALPK3	214846_s_at
822	ADAMTS1	222162_s_at
823	NLRP1	210113_s_at
824	DOCK2	213160_at
825	NREP	201309_x_at
826	DACT1	219179_at
827	KIF26B	220002_at
828	WNT7A	210248_at
830	ADAMTS6	220866_at
